Title,Reviews,Ratings,Company Type,Salaries,Total Interviews,Total Jobs,Founded Year,Company Age,Websites
Tata Elxsi,2300,3.8,IT Services & Consulting,19600,307,22,1989.0,36,tataelxsi.com
XpressBees,2300,3.6,Unknown,7700,169,4,2015.0,10,xpressbees.com
Bajaj Electricals,2300,4.0,Consumer Electronics & Appliances,7700,128,65,1938.0,87,bajajelectricals.com
Britannia,2300,4.0,FMCG,7700,173,11,1892.0,133,britannia.co.in
Micro Labs,2300,3.6,Pharma,9600,132,9,1973.0,52,microlabsltd.com
KPMG Global Services,2300,3.5,Management Consulting,20100,228,0,Not Available,0,kpmg.com
Sterlite Technologies,2200,3.8,Hardware & Networking,10200,167,75,1988.0,37,stl.tech
Exide Industries,2200,3.5,Auto Components,8000,176,53,1947.0,78,exideindustries.com
G4S,2200,4.0,Law Enforcement & Security,4900,103,28,1996.0,29,g4s.com
Indus Towers,2300,3.8,Hardware & Networking,8200,187,46,2007.0,18,industowers.com
Axis Direct,2200,3.8,Financial Services,5300,79,12,1995.0,30,kochartech.com
KocharTech,2200,3.9,IT Services & Consulting,3900,73,48,2011.0,14,axisdirect.in
TVS Supply Chain Solutions,2200,3.8,Unknown,8200,136,3,1896.0,129,tvsscs.com
Voltas,2200,4.0,Consumer Electronics & Appliances,8300,133,5,1954.0,71,voltas.com
Capgemini Engineering,2200,3.5,IT Services & Consulting,16700,370,99,Not Available,0,capgemini.com
McDonald's,2200,4.1,Unknown,4700,126,3,1955.0,70,mcdonalds.com
VVDN Technologies,2200,3.6,IT Services & Consulting,11800,203,10,2007.0,18,vvdntech.com
KFintech,2200,3.5,FinTech,10000,143,12,2017.0,8,kfintech.com
Jindal Stainless,2200,4.2,Iron & Steel,10000,220,6,1970.0,55,jslstainless.com
ZS,2200,3.3,Management Consulting,16800,457,160,1983.0,42,zs.com
Patanjali Ayurved,2200,3.9,FMCG,6300,112,0,2006.0,19,patanjaliayurved.net
Alldigi Tech,2200,4.0,BPO,7100,202,34,2000.0,25,allsectech.com
Blinkit,2200,3.7,Internet,9500,199,0,2013.0,12,blinkit.com
Fortis Healthcare,2200,4.0,Healthcare,7400,134,78,1996.0,29,fortishealthcare.com
Dalmia Bharat Cement,2200,4.0,Building Material,8200,148,1,1935.0,90,dalmiacement.com
Tractors and Farm Equipment,2100,4.0,Industrial Machinery,8200,111,13,1960.0,65,tafe.com
SRF,2200,4.1,Chemicals,8200,184,12,1970.0,55,srf.com
Shell,2200,4.0,Oil & Gas,13300,197,10,1907.0,118,shell.in
Blue Star,2100,4.1,Consumer Electronics & Appliances,9200,169,33,1943.0,82,bluestarindia.com
ACT Fibernet,2200,4.0,Telecom,7500,139,57,2008.0,17,actcorp.in
NoBroker,2100,3.2,Real Estate,9400,241,91,2014.0,11,nobroker.in
Movate,2100,3.3,IT Services & Consulting,13900,264,82,1996.0,29,movate.com
Himalaya Wellness,2100,4.1,Unknown,5900,116,6,1930.0,95,himalayawellness.in
Taj Hotels Resorts and Palaces,2100,4.2,Unknown,4700,123,0,1903.0,122,tajhotels.com
Sonalika Tractors,2100,3.7,Automobile,8500,133,0,1969.0,56,sonalika.com
Huawei Technologies,2100,4.0,Telecom,9900,116,2,2002.0,23,huawei.com
Kansai Nerolac Paints,2100,3.8,Chemicals,7000,157,4,1920.0,105,nerolac.com
Ajanta Pharma,2100,4.0,Pharma,8600,124,25,1973.0,52,ajantapharma.com
V-Mart,2100,4.1,Retail,4300,152,18,2002.0,23,vmartretail.com
Datamatics Global Services,2100,3.4,IT Services & Consulting,11600,165,95,1975.0,50,datamatics.com
Foundever,2100,3.6,BPO,7700,152,98,1985.0,40,foundever.com
Lava International,2000,4.0,Consumer Electronics & Appliances,4700,72,5,2009.0,16,lavamobiles.com
Info Edge,2100,3.9,Internet,11200,328,457,1995.0,30,infoedge.in
Mahindra Rural Housing Finance,2000,4.0,NBFC,4900,88,15,2007.0,18,mahindrahomefinance.com
suzuki motor gujarat,2000,4.2,Automobile,7300,179,12,Not Available,0,marutisuzuki.com
Akums Drugs & Pharmaceuticals Limited,2000,4.4,Pharma,6000,298,13,2004.0,21,akums.in
Simplex Infrastructures,2000,3.3,Engineering & Construction,5600,69,0,1924.0,101,simplexinfra.com
Lifestyle,2000,4.3,Retail,7000,67,11,1999.0,26,lifestylestores.com
Aditya Birla Group,2000,4.1,Building Material,10100,200,1,1857.0,168,adityabirla.com
3i Infotech,2000,3.4,IT Services & Consulting,10800,148,45,1993.0,32,3i-infotech.com
MagicBricks,1400,4.4,Internet,4300,334,44,2006.0,19,magicbricks.com
Unacademy,2000,3.0,EdTech,9700,212,133,2015.0,10,unacademy.com
Cholamandalam MS General Insurance,2000,3.8,Insurance,5800,95,0,2001.0,24,cholainsurance.com
Gallagher,2000,3.7,Insurance,12100,227,35,1927.0,98,linktr.ee
ESAF Small Finance Bank,2000,3.7,Banking,6600,121,32,2016.0,9,esafbank.com
Mahindra Holidays & Resorts,2000,3.5,Hospitality,5900,105,59,1996.0,29,clubmahindra.com
BT Group,2000,3.9,Telecom,10700,187,9,1846.0,179,bt.com
Cybage,2000,3.8,IT Services & Consulting,16800,194,24,1995.0,30,cybage.com
Ola Cabs,2000,3.4,Internet,10600,143,8,2010.0,15,olacabs.com
Myntra,2000,4.0,Internet,9900,220,56,2007.0,18,life.myntra.com
ICICI Securities,2000,3.9,Financial Services,8900,167,5,1995.0,30,icicisecurities.com
Parle Agro,2000,4.0,Beverage,6400,108,4,1984.0,41,parleagro.com
Intellect Design Arena,2000,3.9,Software Product,12000,163,13,2011.0,14,intellectdesign.com
Delhi Public School,2000,3.9,Unknown,5400,114,66,1998.0,27,dpsfamily.org
Eureka Forbes,2000,3.7,Consumer Electronics & Appliances,5500,72,3,1982.0,43,eurekaforbes.com
Care Health Insurance,2000,3.6,Internet,8000,122,58,2012.0,13,careinsurance.com
Syngene International,2000,3.9,Clinical Research,11600,163,56,1993.0,32,syngeneintl.com
JCB,2000,3.9,Unknown,9000,138,0,1945.0,80,jcb.com
State Street Syntel,1900,3.7,Financial Services,8700,76,0,2004.0,21,syntelinc.com
Biocon Limited,2000,3.9,Biotechnology,11600,158,17,1978.0,47,biocon.com
Emcure Pharmaceuticals,2000,3.7,Unknown,8100,104,42,1983.0,42,emcure.com
IntouchCX,2000,2.9,BPO,8400,201,91,2001.0,24,intouchcx.com
Radisson Hotels,2000,4.1,Unknown,5400,79,131,1909.0,116,radissonhotels.com
Xoriant,2000,4.1,IT Services & Consulting,11100,189,46,1990.0,35,xoriant.com Company contact no.2230511000 E-mailcareers@xoriant.com
Nokia Networks,1900,4.2,Hardware & Networking,11700,113,0,Not Available,0,nokia.com
Canara HSBC Life Insurance,2000,3.6,Insurance,6300,104,7,2008.0,17,canarahsbclife.com
Star Health & Allied Insurance,2000,3.6,Insurance,8500,113,13,2006.0,19,starhealth.in
DBS Bank,2000,3.8,Banking,12400,166,108,1968.0,57,dbs.com
Extramarks Education,1900,3.4,EdTech,8000,164,24,2007.0,18,extramarks.com
Adani Power,2000,3.9,Power,8200,235,0,2006.0,19,adanipower.com
Cloudnine Hospital,2100,4.4,Healthcare,2600,221,248,2007.0,18,cloudninecare.com
Planet Spark,2000,3.7,EdTech,3000,396,63,2017.0,8,planetspark.in
Bharat Financial Inclusion,2000,3.9,NBFC,4200,75,14,1998.0,27,bfil.co.in
Cadila Pharmaceuticals,1900,3.5,Pharma,7300,121,30,1951.0,74,cadilapharma.com
Ninjacart,1900,4.0,Internet,5700,97,9,2015.0,10,ninjacart.in
Indian Railways,1900,4.1,Railways,3500,89,0,1853.0,172,indianrailways.gov.in
Sobha,1900,3.8,Real Estate,8000,140,75,1995.0,30,sobha.com
GlaxoSmithKline Pharmaceuticals,1900,4.1,Pharma,5300,106,46,1830.0,195,gsk-india.com
Ola Electric Mobility ,1900,3.3,Automobile,7700,235,0,2017.0,8,olaelectric.com
Hero FinCorp,1900,4.0,NBFC,4900,93,13,1991.0,34,herofincorp.com
BHEL,1900,4.1,Electrical Equipment,5200,116,0,1964.0,61,bhel.com
Sopra Steria,1900,3.8,IT Services & Consulting,13500,129,244,1968.0,57,soprasteria.com Company contact no.0140672929 E-mailcontact-corp@soprasteria.com
Photon Interactive,1900,4.0,IT Services & Consulting,6900,112,329,1999.0,26,photon.in
Sagility,1900,3.9,BPO,8000,185,46,2022.0,3,sagilityhealth.com
Straive,1900,3.4,Analytics & KPO,9100,187,39,1980.0,45,straive.com
Cisco,1900,4.1,Hardware & Networking,17700,377,120,1984.0,41,cisco.com
Aavas Financiers ,1800,3.9,NBFC,5800,97,59,2011.0,14,aavas.in
Life Insurance Corporation of India,1800,4.3,Insurance,4300,74,1,1956.0,69,licindia.in
Whirlpool,1900,3.9,Consumer Electronics & Appliances,8000,96,1,1911.0,114,whirlpoolcorp.com
Bureau Veritas,1900,3.9,Other,7700,118,21,1828.0,197,group.bureauveritas.com
Tata Advanced Systems,1900,3.7,Defence & Aerospace,10700,139,18,2007.0,18,tataadvancedsystems.com
upGrad,1800,3.6,EdTech,8300,201,79,2015.0,10,upgrad.com
Renault Nissan Technology & Business Centre India,1900,3.8,Automobile,13800,134,69,2007.0,18,rntbci.in
Bharti AXA Life Insurance,1800,3.8,Insurance,5200,124,12,2006.0,19,bharti-axalife.com
Shahi Exports,1800,4.0,Fashion & Textile,6700,104,32,1974.0,51,shahi.co.in
GVK Emergency Management and Research Institute,1800,3.6,Unknown,4400,91,9,2005.0,20,emri.in
Niva Bupa Health Insurance Company ,1900,3.6,Insurance,7500,124,28,2008.0,17,nivabupa.com
Renault-Nissan,1800,4.1,Unknown,7600,110,0,2007.0,18,alliancernm.com
Raymond Lifestyle Limited,1800,4.1,Fashion & Textile,6800,92,3,1925.0,100,raymondlifestyle.com
Pfizer,1800,4.0,Pharma,5700,74,32,2004.0,21,pfizer.com
Endurance Technologies,1800,3.9,Auto Components,7500,110,11,1985.0,40,endurancegroup.com
Lodha Group,1800,4.0,Real Estate,8000,133,91,1980.0,45,lodhagroup.com
Kia Motors,1800,3.9,Automobile,7500,136,9,1944.0,81,kia.com
RMSI,1800,3.6,IT Services & Consulting,8000,153,17,1983.0,42,ambujacement.com
Ambuja Cements,1800,3.9,Building Material,6000,113,0,1992.0,33,rmsi.com
HSBC Electronic Data Processing,1800,4.1,Banking,9100,67,2,Not Available,0,hsbc.co.in
Exl India,1800,3.5,Logistics,11800,108,1,1957.0,68,exlindia.com
Force Motors,1800,3.6,Automobile,7800,124,3,1958.0,67,forcemotors.com
Laurus Labs,1800,4.2,Pharma,6900,115,4,2005.0,20,lauruslabs.com
Reliance Trends,1800,4.2,Retail,4400,106,0,2006.0,19,reliancetrends.com
Panasonic Life Solutions India,1800,4.0,Consumer Electronics & Appliances,6000,74,20,1972.0,53,panasonic.com
ValueLabs,1800,3.7,IT Services & Consulting,15100,192,76,1997.0,28,valuelabs.com
Meesho,1800,3.7,Internet,7600,342,148,2015.0,10,meesho.com
Apollo Pharmacy,1800,3.8,Unknown,5800,129,44,1983.0,42,apollopharmacy.in
Bank of Baroda,1800,3.6,Banking,6300,96,1,1908.0,117,bankofbaroda.com
CAMS,1800,3.7,Financial Services,7700,119,8,1988.0,37,camsonline.com
Coromandel International,1800,4.1,Agro Chemicals,7000,101,26,1961.0,64,coromandel.biz
Senco Gold,1700,4.5,Jewellery,1300,565,3,1994.0,31,sencogoldanddiamonds.com
Aditya Birla Capital,1800,3.9,Financial Services,8100,157,2,2017.0,8,adityabirlacapital.com
Allstate,1800,3.8,Insurance,11200,139,21,2012.0,13,allstate.com
Poonawalla Fincorp,1700,3.8,NBFC,5100,64,14,1989.0,36,poonawallafincorp.com
Microsoft Corporation,1800,4.0,Software Product,22800,564,0,1975.0,50,microsoft.com
Sify Technologies,1700,3.8,IT Services & Consulting,9500,125,54,1995.0,30,sifytechnologies.com
TCE,1800,3.8,Engineering & Construction,8100,253,432,1962.0,63,tce.co.in
Cargill,1700,4.0,Food Processing,7700,95,130,1865.0,160,cargill.co.in
Adani Wilmar,1700,4.1,FMCG,6400,111,11,1999.0,26,adaniwilmar.com
Delphi TVS,1700,3.9,Auto Components,5500,88,0,1989.0,36,delphitvs.com
SBI Securities,1800,3.8,Financial Services,6000,151,84,2006.0,19,sbisecurities.in
Brakes India,1700,4.0,Auto Components,6700,73,2,1962.0,63,brakesindia.com
Future Retail,1700,4.3,Retail,5200,54,0,1987.0,38,futureretail.co.in
Future Generali India Life Insurance,1700,3.6,Insurance,6600,101,160,2007.0,18,general.futuregenerali.in
Bharat Petroleum,1700,4.1,Oil & Gas,6600,152,0,1952.0,73,bharatpetroleum.com
SAP,1800,4.2,Software Product,15500,286,271,1972.0,53,sap.com
Physicswallah,1800,3.8,EdTech,5600,211,37,2019.0,6,pw.live
Star Union Dai-ichi Life Insurance,1700,3.9,Insurance,4900,91,39,2009.0,16,sudlife.in
SBI General Insurance,1700,3.7,Insurance,6200,105,24,2009.0,16,sbigeneral.in
ITC Hotels,1700,4.1,Unknown,5400,86,0,1975.0,50,itchotels.in
CitiusTech,1700,3.4,IT Services & Consulting,12900,279,21,2005.0,20,citiustech.com
Google,1700,4.4,Software Product,20700,859,29,1998.0,27,googleoperationscenter.com
Spark Minda,1700,3.9,Auto Components,6400,128,18,1958.0,67,sparkminda.com
Tata Motors Finance,1700,4.1,NBFC,4800,67,2,1957.0,68,tmf.co.in
Adani Group,1800,3.9,Power,8900,202,90,1988.0,37,adani.com
YASH Technologies,1700,3.8,IT Services & Consulting,15600,152,439,1996.0,29,yash.com
American Broadcasting Company,1600,4.0,Unknown,23100,553,17,Not Available,0,abc.com
Dhani Loans and Services,1600,3.8,NBFC,4900,70,9,Not Available,0,dhaniloansandservices.com
KENT RO Systems,1700,4.0,Consumer Electronics & Appliances,4600,84,7,1999.0,26,kent.co.in
Power Mech Projects,1700,3.9,Engineering & Construction,6300,99,4,2007.0,18,powermechprojects.com
Henry Harvin Education,1700,3.7,Unknown,788,14,38,2015.0,10,henryharvin.com
Saint-Gobain,1700,4.0,Engineering & Construction,10100,175,51,1665.0,360,saint-gobain.com
Crisil,1700,3.6,Analytics & KPO,11600,192,516,1987.0,38,crisil.com
Kotak Securities,1700,3.6,Financial Services,8900,117,13,1994.0,31,kotaksecurities.com
AECOM,1600,4.2,Engineering & Construction,6300,121,163,1990.0,35,aecom.com Company contact no.9727881000 E-mailtalismanSaber2017@aecom.com
Gabriel India,1600,4.2,Auto Components,5600,101,0,1961.0,64,anandgroupindia.com
L&T Energy Hydrocarbon,1600,3.9,Engineering & Construction,8100,97,1,2009.0,16,lnthydrocarbon.com
Team Computers,1700,3.6,IT Services & Consulting,8100,106,128,1987.0,38,teamcomputers.com
JK Tyres,1600,3.6,Auto Components,6600,98,2,1951.0,74,jktyre.com
Novartis,1700,4.1,Pharma,8900,146,281,1996.0,29,novartis.com
Mercedes-Benz Research and Development India,1700,3.8,IT Services & Consulting,15700,185,3,1996.0,29,mbrdi.co.in Career pagehttps://jobs.mercedes-benz.com/en?en=&parentorganization=[140]&positionlocation.country=[390] Company contact no.8061506600 E-mailmbrdi_ehs@mercedes-benz.com
IDBI Bank,1600,3.5,Banking,5700,71,0,1964.0,61,idbi.com
BNP Paribas,1700,3.8,Financial Services,14900,183,27,1848.0,177,group.bnpparibas
NCR Corporation,1600,3.7,IT Services & Consulting,8500,129,301,1884.0,141,ncrvoyix.com
Parle Products,1600,3.9,FMCG,3600,93,9,1929.0,96,parleproducts.com
Sterling & Wilson,1600,4.1,Engineering & Construction,7600,66,23,1927.0,98,sterlingandwilson.com
TaskUs,1700,3.3,BPO,7200,178,287,2008.0,17,taskus.com
Lucas-TVS,1600,3.9,Auto Components,5800,75,3,1962.0,63,lucas-tvs.com
Reliance General Insurance,1600,3.7,Insurance,6900,82,6,2000.0,25,reliancegeneral.co.in
Microland,1600,3.4,IT Services & Consulting,11000,135,469,1989.0,36,microland.com
Uflex,1600,3.8,Packaging,6600,110,65,1985.0,40,uflexltd.com Company contact no.01204012345 E-mailenquiry@uflexltd.com
Paisabazaar.com,1600,3.4,Internet,6700,144,57,2014.0,11,paisabazaar.com
Thomson Reuters,1600,4.1,Software Product,10300,115,253,2008.0,17,thomsonreuters.com
Kalyan Jewellers,1600,4.6,Jewellery,1400,60,15,1993.0,32,kalyanjewellers.net
FirstCry,1600,3.6,Internet,8300,175,23,2010.0,15,firstcry.com
SGS,1600,3.9,Other,6000,99,41,1878.0,147,sgs.com
Daikin,1600,4.1,Consumer Electronics & Appliances,6700,155,6,2000.0,25,daikin.com
Morgan Stanley,1600,3.7,Financial Services,21600,297,1,1931.0,94,morganstanley.com
Hindustan Aeronautics,1600,4.3,Defence & Aerospace,4200,74,0,1940.0,85,hal-india.co.in
Infinite Computer Solutions,1600,3.4,IT Services & Consulting,12700,150,185,2001.0,24,infinite.com
Philips,1600,3.8,Consumer Electronics & Appliances,10300,160,119,1930.0,95,philips.com
Dr Lal PathLabs,1600,4.2,Healthcare,4400,130,58,1949.0,76,lalpathlabs.com
Honeywell Automation,1600,3.8,Industrial Automation,11400,104,1,1906.0,119,honeywell.com
Nuvoco Vistas,1600,4.1,Building Material,6200,99,20,2014.0,11,nuvoco.com
